Country_Name,Year,Access_to_electricity_(%_of_population),"Adjusted_net_enrollment_rate,_primary_(%_of_primary_school_age_children)",Adjusted_net_national_income_(constant_2015_US$),Adjusted_net_national_income_per_capita_(annual_%_growth),Adjusted_net_national_income_per_capita_(constant_2015_US$),"Annualized_average_growth_rate_in_per_capita_real_survey_mean_consumption_or_income,_bottom_40%_of_population_(%)","Annualized_average_growth_rate_in_per_capita_real_survey_mean_consumption_or_income,_total_population_(%)",CPIA_social_protection_rating_(1=low_to_6=high),CPIA_trade_rating_(1=low_to_6=high),"Central_government_debt,_total_(%_of_GDP)","Children_out_of_school,_primary",Current_account_balance_(%_of_GDP),Current_health_expenditure_(%_of_GDP),"Current_health_expenditure_per_capita,_PPP_(current_international_$)","Employment_to_population_ratio,_15+,_total_(%)_(modeled_ILO_estimate)",Exports_of_goods_and_services_(%_of_GDP),Exports_of_goods_and_services_(annual_%_growth),Final_consumption_expenditure_(%_of_GDP),Final_consumption_expenditure_(annual_%_growth),"Foreign_direct_investment,_net_inflows_(%_of_GDP)","Foreign_direct_investment,_net_outflows_(%_of_GDP)",GDP_(constant_2015_US$),GDP_(constant_LCU),GDP_growth_(annual_%),GDP_per_capita_(constant_2015_US$),GDP_per_capita_(constant_LCU),GDP_per_capita_growth_(annual_%),"GDP_per_capita,_PPP_(constant_2017_international_$)",GDP_per_person_employed_(constant_2017_PPP_$),"GDP,_PPP_(constant_2017_international_$)",Gini_index,"Government_expenditure_on_education,_total_(%_of_GDP)","Government_expenditure_on_education,_total_(%_of_government_expenditure)",Gross_domestic_income_(constant_LCU),Gross_domestic_savings_(%_of_GDP),Gross_national_expenditure_(constant_2015_US$),Gross_savings_(%_of_GDP),"Hospital_beds_(per_1,000_people)",Human_capital_index_(HCI)_(scale_0-1),"Human_capital_index_(HCI),_lower_bound_(scale_0-1)","Human_capital_index_(HCI),_upper_bound_(scale_0-1)",Income_share_held_by_highest_10%,Income_share_held_by_highest_20%,Income_share_held_by_lowest_10%,Income_share_held_by_lowest_20%,Increase_in_poverty_gap_at_$1.90_($_2011_PPP)_poverty_line_due_to_out-of-pocket_health_care_expenditure_(%_of_poverty_line),Increase_in_poverty_gap_at_$1.90_($_2011_PPP)_poverty_line_due_to_out-of-pocket_health_care_expenditure_(USD),Increase_in_poverty_gap_at_$3.20_($_2011_PPP)_poverty_line_due_to_out-of-pocket_health_care_expenditure_(%_of_poverty_line),Increase_in_poverty_gap_at_$3.20_($_2011_PPP)_poverty_line_due_to_out-of-pocket_health_care_expenditure_(USD),"Inflation,_GDP_deflator_(annual_%)","Inflation,_GDP_deflator:_linked_series_(annual_%)","Inflation,_consumer_prices_(annual_%)","Labor_force,_total","Life_expectancy_at_birth,_total_(years)","Literacy_rate,_adult_total_(%_of_people_ages_15_and_above)","Literacy_rate,_youth_total_(%_of_people_ages_15-24)","Mortality_rate,_infant_(per_1,000_live_births)","Mortality_rate,_under-5_(per_1,000_live_births)",Net_acquisition_of_financial_assets_(current_LCU),Net_barter_terms_of_trade_index_(2000_=_100),"Net_financial_flows,_bilateral_(NFL,_current_US$)",Net_foreign_assets_(current_LCU),Net_investment_in_nonfinancial_assets_(current_LCU),Net_lending_(+)_/_net_borrowing_(-)_(current_LCU),"Net_trade_in_goods_(BoP,_current_US$)",Number_of_under-five_deaths,Ores_and_metals_exports_(%_of_merchandise_exports),"Population,_total",Poverty_gap_at_$2.15_a_day_(2017_PPP)_(%),Poverty_gap_at_$3.65_a_day_(2017_PPP)_(%),Poverty_gap_at_$6.85_a_day_(2017_PPP)_(%),Poverty_headcount_ratio_at_$2.15_a_day_(2017_PPP)_(%_of_population),Poverty_headcount_ratio_at_$3.65_a_day_(2017_PPP)_(%_of_population),Poverty_headcount_ratio_at_$6.85_a_day_(2017_PPP)_(%_of_population),Poverty_headcount_ratio_at_national_poverty_lines_(%_of_population),Present_value_of_external_debt_(current_US$),Price_level_ratio_of_PPP_conversion_factor_(GDP)_to_market_exchange_rate,"Primary_completion_rate,_total_(%_of_relevant_age_group)",Public_private_partnerships_investment_in_ICT_(current_US$),Public_private_partnerships_investment_in_energy_(current_US$),Public_private_partnerships_investment_in_transport_(current_US$),Public_private_partnerships_investment_in_water_and_sanitation_(current_US$),Rail_lines_(total_route-km),"Railways,_goods_transported_(million_ton-km)","Railways,_passengers_carried_(million_passenger-km)",Real_interest_rate_(%),Renewable_electricity_output_(%_of_total_electricity_output),Renewable_energy_consumption_(%_of_total_final_energy_consumption),Renewable_internal_freshwater_resources_per_capita_(cubic_meters),Rural_land_area_(sq._km),Rural_population,Taxes_on_exports_(%_of_tax_revenue),Taxes_on_exports_(current_LCU),Taxes_on_international_trade_(%_of_revenue),Taxes_on_international_trade_(current_LCU),Trade_(%_of_GDP),Trade_in_services_(%_of_GDP),"Unemployment,_total_(%_of_total_labor_force)_(modeled_ILO_estimate)","Unemployment,_youth_total_(%_of_total_labor_force_ages_15-24)_(modeled_ILO_estimate)",Urban_population,Urban_population_(%_of_total_population),Urban_population_growth_(annual_%),"Vulnerable_employment,_total_(%_of_total_employment)_(modeled_ILO_estimate)","Wage_and_salaried_workers,_total_(%_of_total_employment)_(modeled_ILO_estimate)"
Cote d'Ivoire,2004,52.51891708,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,5.47520828,169.5098114,61.47100067,30.14128887,12.35106044,83.11742593,1.617113489,1.203627753,-0.108521151,28449303817.0,16819600000000.0,3.185038229,1534.076712,906964.1008,0.801103624,3435.280275,10681.19657,63706939484.0,283590575737.07385,2.911760092,22.10716057,15105800000000.0,16.88257407,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,-2.503357525,-2.503357525,1.457988356,6577438.0,51.363,283590575737.07385,283590575737.07385,87.8,129.4,-11200000000.0,129.5200202,13924376.9,700789000000.0,260500000000.0,-112900000000.0,283590575737.07385,99295.0,0.233205505,18544903.0,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,283590575737.07385,0.429088344,283590575737.07385,283590575737.07385,283590575737.07385,36400000.0,283590575737.07385,639.0,501.0,283590575737.07385,283590575737.07385,33.66606171,75.4,4143.456561,283590575737.07385,10233634.0,25.4551313,316000000000.0,49.56807311,694300000000.0,58.1182963,283590575737.07385,5.47300005,7.921000004,8311269.0,44.817,3.274513349,80.5,18.89999962
Cote d'Ivoire,2005,58.90000153,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,2.5,3.5,284474032168.0155,284474032168.0155,0.165122868,5.00643015,159.1742249,61.2820015,31.87898022,5.62160348,85.22083414,1.897751754,1.452181186,0.153989401,28732677535.0,16987100000000.0,0.996065562,1514.620553,895461.392,-1.268265055,3391.711816,10616.71937,64341502369.0,284474032168.0155,2.919440031,21.84568977,15060300000000.0,14.77916586,284474032168.0155,-18.75292357,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,1.215134943,1.301305273,3.885830399,6748109.0,51.824,284474032168.0155,284474032168.0155,85.5,125.7,25100000000.0,129.9997464,9927105.3,723515000000.0,234300000000.0,-119400000000.0,2493187578.0,97239.0,0.212418476,18970215.0,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,0.421519602,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,284474032168.0155,639.0,675.0,284474032168.0155,5.76399145,27.23112128,77.92,4050.560313,284474032168.0155,10389228.0,20.99584399,262700000000.0,43.96218603,637100000000.0,62.82093604,13.34242157,5.730000019,8.23900032,8580987.0,45.234,3.193663706,80.34999847,19.01000023
Cote d'Ivoire,2006,60.17105103,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,2.5,3.5,326819996006.28296,326819996006.28296,1.89621798,4.76330471,155.0108337,61.12900162,32.84093023,5.722225569,83.82768948,0.353515378,1.388231734,0.125848809,29541668653.0,17465400000000.0,2.815578596,1523.233053,900553.2027,0.56862426,3410.997912,10743.4106,66153087938.0,326819996006.28296,2.819999933,20.01789093,15276500000000.0,16.17231052,326819996006.28296,-18.26688,0.4,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,1.359538255,1.359538255,2.467191486,6923835.0,52.355,326819996006.28296,326819996006.28296,83.6,122.1,326819996006.28296,132.2983416,16824410.0,854495000000.0,239000000000.0,-33560000000.0,3155408007.0,95213.0,0.160241811,19394057.0,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,0.418295821,43.74016953,326819996006.28296,326819996006.28296,326819996006.28296,326819996006.28296,639.0,326819996006.28296,326819996006.28296,3.331830897,28.68258179,74.79,3962.038474,326819996006.28296,10540282.0,19.37200405,264300000000.0,47.16311582,704400000000.0,63.69037706,13.21805047,5.93200016,8.494999886,8853775.0,45.652,3.12949799,79.95999908,19.37999916
Cote d'Ivoire,2007,55.37762451,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,2.5,3.5,346460978285.70044,346460978285.70044,-0.484088661,4.55253553,151.454773,60.94300079,30.49095272,-8.423449932,86.72276339,4.324610754,1.54311659,0.057233006,29867049385.0,17657700000000.0,1.101429764,1507.089591,891008.9991,-1.059815638,3374.847623,10690.55362,66881717739.0,346460978285.70044,3.016139984,20.75588036,15726200000000.0,13.27723661,346460978285.70044,-19.90297443,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,3.088549449,3.088549449,1.892006293,7104515.0,52.97,346460978285.70044,346460978285.70044,81.3,118.3,29400000000.0,137.3113361,16497036.8,1023380000000.0,249300000000.0,1300000000.0,2614477657.0,92854.0,0.380226863,19817700.0,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,0.45828327,44.91416931,346460978285.70044,346460978285.70044,346460978285.70044,346460978285.70044,639.0,346460978285.70044,346460978285.70044,1.61328996,33.95489256,76.33,3877.341972,346460978285.70044,10687487.0,17.44312764,256100000000.0,42.82970551,735900000000.0,61.43094235,12.84835996,6.184999943,8.793000221,9130213.0,46.071,3.074510227,79.67000008,19.63999939
Cote d'Ivoire,2008,60.29999924,363316823096.3012,18307812974.0,363316823096.3012,904.3374297,363316823096.3012,363316823096.3012,2.5,4.0,363316823096.3012,363316823096.3012,1.330442434,4.56873417,155.3703156,60.80899811,31.01366907,-5.625793571,81.73326247,-1.669402649,1.374418681,0.05993311,31295490595.0,18502300000000.0,4.782665981,1545.880088,913942.3946,2.573868008,3461.711746,11026.37406,70080446901.0,43.2,3.098530054,21.52691078,17004600000000.0,18.26673753,29196867937.0,-13.9842171,363316823096.3012,363316823096.3012,363316823096.3012,363316823096.3012,32.6,49.0,1.8,5.1,1.244351268,2.364267349,2.037917078,6.521334648,5.372933484,5.372933484,6.308527692,7289697.0,53.653,363316823096.3012,363316823096.3012,79.0,114.4,26700000000.0,141.0680954,10344163.6,1000250000000.0,300300000000.0,34710000000.0,3382826559.0,90375.0,0.642278458,20244449.0,12.4,28.1,51.0,34.4,62.9,86.6,363316823096.3012,363316823096.3012,0.508488203,363316823096.3012,363316823096.3012,108000000.0,363316823096.3012,363316823096.3012,639.0,363316823096.3012,363316823096.3012,-0.368943717,34.75862069,74.21,3795.608367,363316823096.3012,10832602.0,14.13341008,230800000000.0,37.97682483,763300000000.0,61.9406213,11.76605622,6.355999947,9.005999565,9411847.0,46.491,3.038019087,79.06999969,20.20999908
Cote d'Ivoire,2009,57.31510544,55.83834,19174889415.0,2.541302445,927.3193789,363149656508.3515,363149656508.3515,2.5,4.0,363149656508.3515,1463648.0,4.792717333,4.46970177,154.5654297,60.62799835,35.41274131,18.82426997,81.10387155,2.410569807,1.173390728,0.027970999,32423167757.0,19169000000000.0,3.603321566,1568.021131,927032.4385,1.432261367,3511.292506,11247.41969,72605670758.0,363149656508.3515,3.173939943,22.18955994,17955500000000.0,18.89612845,28465188865.0,-12.2345587,363149656508.3515,363149656508.3515,363149656508.3515,363149656508.3515,363149656508.3515,363149656508.3515,363149656508.3515,363149656508.3515,363149656508.3515,363149656508.3515,363149656508.3515,363149656508.3515,1.207779297,1.207779297,1.019504577,7478860.0,54.394,363149656508.3515,363149656508.3515,76.9,110.2,29783777000.0,151.9996734,-6708041.2,1111900000000.0,300569000000.0,187001000000.0,4273884038.0,87699.0,0.403566086,20677762.0,363149656508.3515,363149656508.3515,363149656508.3515,363149656508.3515,363149656508.3515,363149656508.3515,363149656508.3515,363149656508.3515,0.484937762,45.82094955,363149656508.3515,363149656508.3515,363149656508.3515,363149656508.3515,639.0,363149656508.3515,363149656508.3515,3.724734136,37.5234202,73.71,3716.069466,363149656508.3515,10977824.0,13.81486173,231200000000.0,34.62292529,747000000000.0,66.67290375,11.69413849,6.602000237,9.282999992,9699938.0,46.91,3.015027885,78.39999962,20.85000038
Cote d'Ivoire,2010,58.3014679,371277180067.8873,20389942098.0,4.109864039,965.4309446,371277180067.8873,371277180067.8873,2.5,4.0,371277180067.8873,371277180067.8873,1.330952803,4.41580963,153.9613953,60.49300003,33.49957459,-9.054527752,78.79273637,3.684597841,1.026062471,0.126211053,34643522302.0,20481700000000.0,6.848049401,1640.315029,969773.4367,4.610518088,3673.181282,11833.51673,77577742959.0,371277180067.8873,3.246510029,22.77275085,19911900000000.0,21.20726363,31697340886.0,-11.36763324,371277180067.8873,0.303838104,0.293173939,0.314643502,371277180067.8873,371277180067.8873,371277180067.8873,371277180067.8873,371277180067.8873,371277180067.8873,371277180067.8873,371277180067.8873,1.516217924,1.516217924,1.226456121,7674193.0,55.023,371277180067.8873,371277180067.8873,74.9,106.4,136324000000.0,165.5060292,-237459486.0,1345340000000.0,342574000000.0,-79924000000.0,3625123240.0,85549.0,0.313152552,21120042.0,371277180067.8873,371277180067.8873,371277180067.8873,371277180067.8873,371277180067.8873,371277180067.8873,371277180067.8873,371277180067.8873,0.46235699,371277180067.8873,371277180067.8873,5500000.0,371277180067.8873,371277180067.8873,639.0,371277180067.8873,371277180067.8873,3.543389897,28.28164292,75.42,3638.250341,371277180067.8873,11123926.0,13.31007374,235000000000.0,42.37481899,889600000000.0,67.47294008,11.94716219,6.776000023,9.484999657,9996116.0,47.33,3.007712381,78.39999962,20.80999947
Cote d'Ivoire,2011,55.79999924,402140339062.7856,16994257224.0,-18.3655405,788.1243335,402140339062.7856,402140339062.7856,2.5,4.0,402140339062.7856,402140339062.7856,7.266127217,4.39704227,147.7742462,60.18700027,35.28137635,0.326099921,77.55943144,-6.581767013,0.822954232,0.041673939,32783010215.0,19381700000000.0,-5.370447241,1520.342298,898844.1544,-7.314005486,3404.524602,11079.16231,73411471202.0,402140339062.7856,2.865760088,22.42686081,18588500000000.0,22.44056856,26079865662.0,-12.44902861,402140339062.7856,402140339062.7856,402140339062.7856,402140339062.7856,402140339062.7856,402140339062.7856,402140339062.7856,402140339062.7856,402140339062.7856,402140339062.7856,402140339062.7856,402140339062.7856,5.709320499,5.709320499,4.912433951,7842038.0,55.52,402140339062.7856,402140339062.7856,73.1,103.2,181877000000.0,161.295912,334468100.0,1688310000000.0,281829000000.0,-413129000000.0,5976343537.0,83842.0,0.189149965,21562914.0,402140339062.7856,402140339062.7856,402140339062.7856,402140339062.7856,402140339062.7856,402140339062.7856,402140339062.7856,402140339062.7856,0.502729522,53.17802811,402140339062.7856,5500000.0,402140339062.7856,402140339062.7856,639.0,402140339062.7856,402140339062.7856,-0.428915662,30.13608788,79.11,3563.525783,402140339062.7856,11266407.0,17.38399847,227600000000.0,40.95607742,626800000000.0,64.71590306,10.41805497,7.215000153,9.918000221,10296507.0,47.751,2.960809396,78.21000099,20.95000076
Cote d'Ivoire,2012,55.79999924,420562967644.70087,22591578620.0,30.23201225,1026.390179,420562967644.70087,420562967644.70087,2.5,4.0,420562967644.70087,420562967644.70087,-0.882958509,4.42740583,160.712265,60.16199875,34.9824904,10.46495452,79.88529142,13.5003527,0.909737041,0.039393781,35281210581.0,20858700000000.0,7.620411763,1602.910918,947659.6889,5.430923065,3589.421714,11810.44557,79005727589.0,420562967644.70087,3.434469938,20.85876083,19669100000000.0,20.11470858,33781381104.0,-9.900770185,420562967644.70087,420562967644.70087,420562967644.70087,420562967644.70087,420562967644.70087,420562967644.70087,420562967644.70087,420562967644.70087,420562967644.70087,420562967644.70087,420562967644.70087,420562967644.70087,-0.404098359,-0.404098359,1.304511199,7988446.0,56.158,40.98162842,48.30995941,71.1,100.1,-48286070943.0,144.5735671,-129271114.9,1522570000000.0,612240000000.0,-384710000000.0,3066533816.0,81982.0,0.235680859,22010712.0,420562967644.70087,420562967644.70087,420562967644.70087,420562967644.70087,420562967644.70087,420562967644.70087,420562967644.70087,420562967644.70087,0.473435305,54.47447968,700000000.0,50000000.0,285000000.0,420562967644.70087,639.0,420562967644.70087,420562967644.70087,5.465350417,26.4395667,74.9,3491.02746,420562967644.70087,11407712.0,12.23434253,240800000000.0,39.18466321,911400000000.0,70.30108932,10.78555818,7.21999979,9.951000214,10603000.0,48.172,2.933226844,76.88000107,22.18000031
Cote d'Ivoire,2013,61.36259079,68.27574,24195526988.0,4.914055141,1076.827558,476199687010.5096,476199687010.5096,2.5,4.0,476199687010.5096,1136993.0,-1.480122706,3.71776819,145.3506165,62.06499863,29.16040266,-12.83794442,77.12207261,4.920530836,0.953203596,-0.014970549,39077544035.0,23103100000000.0,10.76021313,1739.155189,1028208.896,8.499803033,3894.515489,12522.95452,87506912264.0,476199687010.5096,3.458600044,21.57472992,22319400000000.0,22.87792739,36631203525.0,-8.314578611,476199687010.5096,476199687010.5096,476199687010.5096,476199687010.5096,476199687010.5096,476199687010.5096,476199687010.5096,476199687010.5096,476199687010.5096,476199687010.5096,476199687010.5096,476199687010.5096,2.876730428,2.876730428,2.581170373,8151021.0,56.748,476199687010.5096,476199687010.5096,69.2,96.9,195353000000.0,144.9200576,367910312.9,1454850000000.0,927215000000.0,-349325000000.0,2994983236.0,79740.0,0.34095028,22469268.0,476199687010.5096,476199687010.5096,476199687010.5096,476199687010.5096,476199687010.5096,476199687010.5096,476199687010.5096,476199687010.5096,0.500590824,53.29364014,476199687010.5096,350000000.0,476199687010.5096,476199687010.5096,639.0,476199687010.5096,476199687010.5096,2.343357494,21.88235294,72.16,3419.782077,476199687010.5096,11550777.0,13.95329062,313423000000.0,39.83462671,1065640000000.0,58.35267925,9.723150206,4.25,6.271999836,10918491.0,48.593,2.932079401,75.70000076,23.43000031
Cote d'Ivoire,2014,61.90000153,72.85662,28639556722.0,15.65814822,1245.438813,487386123817.621,487386123817.621,2.5,4.0,487386123817.621,987969.0,1.045624073,3.73104811,161.29422,62.54600143,28.15695877,5.748372811,74.74604421,9.137302907,0.899528866,0.033206182,42739891440.0,25268300000000.0,9.371999942,1858.615347,1098835.139,6.868861325,4162.024358,13385.26528,95708060030.0,487386123817.621,3.314169884,21.76678085,24630900000000.0,25.25395579,40981185558.0,22.78909985,487386123817.621,487386123817.621,487386123817.621,487386123817.621,487386123817.621,487386123817.621,487386123817.621,487386123817.621,487386123817.621,487386123817.621,487386123817.621,487386123817.621,4.407332356,4.407332356,0.448682077,8360974.0,57.208,43.90842056,53.02069092,67.3,93.5,159885000000.0,160.1555499,157794248.9,1697080000000.0,983800000000.0,-325024000000.0,3878084413.0,77442.0,0.434254556,22995555.0,487386123817.621,487386123817.621,487386123817.621,487386123817.621,487386123817.621,487386123817.621,487386123817.621,487386123817.621,0.49927228,54.86824036,487386123817.621,269000000.0,487386123817.621,487386123817.621,639.0,487386123817.621,487386123817.621,0.891700761,23.93193338,71.91,3341.515349,487386123817.621,11724514.0,14.16992941,345737000000.0,41.1605307,1186020000000.0,53.68041756,8.130214933,3.474999905,4.881999969,11271041.0,49.014,3.177891895,74.60999966,24.27000046
Cote d'Ivoire,2015,62.59999847,76.73595,43321638909.0,47.41119147,1835.916193,0.74,-0.22,2.5,4.0,490721743989.25104,864920.0,-0.439538346,3.21990895,149.8188477,63.02700043,27.35560794,1.662840062,74.5198044,9.258556769,1.079150197,0.031449283,45814637971.0,27086200000000.0,7.194090645,1941.566336,1147876.734,4.463053059,4347.777713,13955.83423,102593000000.0,41.5,3.494159937,21.17321968,27086200000000.0,25.4801956,44900437525.0,22.52951586,490721743989.25104,490721743989.25104,490721743989.25104,490721743989.25104,31.9,47.8,2.1,5.7,0.811997056,1.542794466,1.502029691,4.80649519,4.775682374,4.775682374,1.251499548,8617882.0,57.762,490721743989.25104,490721743989.25104,65.6,90.5,224983000000.0,170.4724569,1341377302.0,1802700000000.0,589993000000.0,-657335000000.0,3169812031.0,75717.0,0.225931899,23596741.0,11.2,27.2,51.0,33.4,63.2,87.9,44.4,490721743989.25104,0.423939926,60.44213104,490721743989.25104,490721743989.25104,490721743989.25104,490721743989.25104,639.0,490721743989.25104,490721743989.25104,0.361232954,16.72597865,64.51,3256.381888,318023.6312,11929568.0,16.00870945,484600000000.0,25.8528778,924762000000.0,52.71578279,7.752262661,2.697000027,3.476999998,11667173.0,49.444,3.454247897,73.96999931,24.51000023
Cote d'Ivoire,2016,64.30000305,86.90249,46591953372.0,4.808934977,1924.204209,549071838822.0321,549071838822.0321,3.0,4.0,549071838822.0321,489791.0,-0.863712222,3.35172296,158.4353485,63.52000046,24.59506751,-6.805620993,76.5826291,10.74966462,1.204796719,0.059734994,49103766045.0,29030700000000.0,7.179207824,2027.939729,1198941.695,4.448644965,4541.194908,14549.53651,109959000000.0,549071838822.0321,3.97232008,22.38759995,29532100000000.0,23.4173709,49098838876.0,20.30702728,549071838822.0321,549071838822.0321,549071838822.0321,549071838822.0321,549071838822.0321,549071838822.0321,549071838822.0321,549071838822.0321,549071838822.0321,549071838822.0321,549071838822.0321,549071838822.0321,-2.090361448,-2.090361448,0.723178458,8883562.0,58.06,549071838822.0321,549071838822.0321,64.2,88.0,-110833000000.0,170.8745585,-109194846.7,1701390000000.0,744660000000.0,-931012000000.0,3067507603.0,74767.0,0.182949943,24213622.0,549071838822.0321,549071838822.0321,549071838822.0321,549071838822.0321,549071838822.0321,549071838822.0321,549071838822.0321,549071838822.0321,0.425933922,64.16320801,549071838822.0321,549071838822.0321,549071838822.0321,549071838822.0321,639.0,549071838822.0321,549071838822.0321,7.543038211,549071838822.0321,64.04,3173.420317,549071838822.0321,12135625.0,16.25401657,534368000000.0,26.86203124,982539000000.0,47.51560255,7.960512921,1.899999976,2.036000013,12077997.0,49.881,3.460619562,73.0,25.02000046
Cote d'Ivoire,2017,65.59999847,88.60837,49463102730.0,3.451901352,1990.62584,552788640450.1589,552788640450.1589,3.0,4.0,552788640450.1589,430570.0,-2.033590101,3.30509853,159.661087,62.61000061,24.92012188,10.00496285,78.57860839,8.309258565,1.889997672,1.310438376,52717625514.0,31167300000000.0,7.359638088,2121.603009,1254316.522,4.618642178,4750.936451,15387.10477,118051000000.0,552788640450.1589,3.80347991,20.63349915,31651900000000.0,21.42139161,52824539839.0,17.44168053,552788640450.1589,0.353,0.334,0.371,552788640450.1589,552788640450.1589,552788640450.1589,552788640450.1589,552788640450.1589,552788640450.1589,552788640450.1589,552788640450.1589,-1.837601637,-1.837601637,0.685881065,9157647.0,58.48,552788640450.1589,552788640450.1589,62.6,85.6,263984000000.0,151.1930766,90400510.1,1795360000000.0,552788640450.1589,-1062050000000.0,3374301119.0,73956.0,0.533847338,24848016.0,552788640450.1589,552788640450.1589,552788640450.1589,552788640450.1589,552788640450.1589,552788640450.1589,552788640450.1589,552788640450.1589,0.436997636,71.59989929,552788640450.1589,552788640450.1589,471300000.0,552788640450.1589,639.0,552788640450.1589,552788640450.1589,7.108222449,552788640450.1589,62.54,3092.399812,552788640450.1589,12343003.0,16.79050565,601891000000.0,27.80278123,1087430000000.0,48.54077832,8.362706392,3.269999981,5.171999931,12505013.0,50.326,3.474423641,71.84999847,26.60000038
Cote d'Ivoire,2018,67.14739227,93.69235,53268518783.0,4.964684881,2089.45414,572686429093.6163,572686429093.6163,3.0,4.0,572686429093.6163,241575.0,-3.938017166,3.11891103,160.8139954,62.86899948,22.64068269,-0.084213303,79.57369603,8.543257532,1.069324208,0.24935098,56350019798.0,33314800000000.0,6.89028432,2210.325815,1306770.483,4.18187594,4949.614719,15967.47147,126185000000.0,37.2,3.239939928,18.28890038,34121300000000.0,20.42630397,58207300363.0,15.67020865,572686429093.6163,0.369968355,0.352786034,0.386539489,29.0,44.7,2.9,7.0,572686429093.6163,572686429093.6163,572686429093.6163,572686429093.6163,0.634843913,0.634843913,0.359409031,9441715.0,58.849,572686429093.6163,572686429093.6163,61.0,82.8,74327670644.0,151.4118787,-169458575.7,2018020000000.0,572686429093.6163,-1075990000000.0,2202675811.0,72466.0,1.124448506,25493988.0,2.4,11.9,34.4,11.4,39.6,75.4,39.5,572686429093.6163,0.449005153,74.60257721,572686429093.6163,572686429093.6163,572686429093.6163,572686429093.6163,639.0,572686429093.6163,572686429093.6163,572686429093.6163,572686429093.6163,62.99,3014.043939,572686429093.6163,12548396.0,12.99579293,492821000000.0,24.60155503,1017540000000.0,46.06748638,7.989529586,2.835000038,4.559999943,12945592.0,50.779,3.462574019,70.5899992,27.75
Cote d'Ivoire,2019,68.45955658,664236706933.0513,56016594189.0,2.530443933,2142.326606,664236706933.0513,664236706933.0513,3.0,4.0,664236706933.0513,199358.0,-2.30413507,3.29862952,179.5517883,63.12799835,23.77627756,17.83061191,78.78971488,4.561083103,1.450101603,0.186572198,59861589343.0,35390900000000.0,6.231709513,2289.376521,1353506.185,3.576427771,5126.634115,16466.28254,134049000000.0,664236706933.0513,3.716379881,17.37957954,35690200000000.0,21.21028512,59610714741.0,17.55413939,664236706933.0513,664236706933.0513,664236706933.0513,664236706933.0513,664236706933.0513,664236706933.0513,664236706933.0513,664236706933.0513,664236706933.0513,664236706933.0513,664236706933.0513,664236706933.0513,0.200492127,0.200492127,-1.10686344,9735200.0,59.319,89.89341736,83.62647247,59.0,79.7,161405000000.0,154.9141048,252069803.2,2502080000000.0,664236706933.0513,-921594000000.0,3151326457.0,70460.0,1.410870557,26147551.0,664236706933.0513,664236706933.0513,664236706933.0513,664236706933.0513,664236706933.0513,664236706933.0513,664236706933.0513,664236706933.0513,0.419017468,78.75084686,664236706933.0513,216040000.0,664236706933.0513,664236706933.0513,639.0,664236706933.0513,664236706933.0513,664236706933.0513,664236706933.0513,62.46,2938.707338,664236706933.0513,12749807.0,14.35125901,592296000000.0,25.13297899,1132810000000.0,46.40091446,7.79929924,2.400000095,3.948999882,13397744.0,51.239,3.433099047,69.30999947,29.06999969
